Dealer_ID,Product_ID,Date,Quantity,Consumption,Location
D000,P001,2022-01-06,76.0,17.0,New York
D000,P001,2022-01-07,19.0,6.0,Chicago
D000,P001,2022-01-08,43.0,12.0,Los Angeles
D000,P001,2022-01-09,44.0,5.0,Los Angeles
D000,P001,2022-01-10,26.0,6.0,Los Angeles
D000,P001,2022-01-11,23.0,6.0,Chicago
D000,P001,2022-01-12,14.0,12.0,New York
D000,P001,2022-01-13,95.0,10.0,Chicago
D000,P001,2022-01-14,50.0,7.0,Los Angeles
D000,P001,2022-01-15,82.0,16.0,New York
D000,P001,2022-01-16,50.0,9.0,New York
D000,P001,2022-01-17,97.0,14.0,New York
D000,P001,2022-01-18,38.0,7.0,Los Angeles
D000,P001,2022-01-19,86.0,18.0,New York
D000,P001,2022-01-20,55.0,12.0,Los Angeles
D000,P001,2022-01-21,89.0,11.0,Los Angeles
D000,P001,2022-01-22,21.0,9.0,Los Angeles
D000,P001,2022-01-23,57.0,12.0,Los Angeles
D000,P001,2022-01-24,20.0,11.0,New York
D000,P001,2022-01-25,53.0,14.0,New York
D000,P001,2022-01-26,48.0,12.0,Los Angeles
D000,P001,2022-01-27,45.0,18.0,Los Angeles
D000,P001,2022-01-28,84.0,13.0,Chicago
D000,P001,2022-01-29,46.0,18.0,Los Angeles
D000,P001,2022-01-30,47.0,11.0,New York
D000,P001,2022-02-01,79.0,17.0,New York
D000,P001,2022-02-02,73.0,13.0,Los Angeles
D000,P001,2022-02-03,50.0,6.0,Chicago
D000,P001,2022-02-04,32.0,9.0,Chicago
D000,P001,2022-02-05,26.0,8.0,New York
D000,P001,2022-02-06,57.0,11.0,New York
D000,P001,2022-02-07,61.0,19.0,New York
D000,P001,2022-02-08,47.0,14.0,Chicago
D000,P001,2022-02-09,57.0,14.0,New York
D000,P001,2022-02-10,79.0,19.0,New York
D000,P001,2022-02-11,91.0,5.0,Los Angeles
D000,P001,2022-02-12,41.0,6.0,Los Angeles
D000,P001,2022-02-13,29.0,19.0,Chicago
D000,P001,2022-02-14,65.0,7.0,New York
D000,P001,2022-02-15,63.0,8.0,New York
D000,P001,2022-02-16,56.0,16.0,Los Angeles
D000,P001,2022-02-17,92.0,5.0,Los Angeles
D000,P001,2022-02-18,29.0,6.0,New York
D000,P001,2022-02-19,31.0,6.0,Los Angeles
D000,P001,2022-02-20,45.0,7.0,Chicago
D000,P001,2022-02-21,38.0,14.0,Chicago
D000,P001,2022-02-22,24.0,8.0,Chicago
D000,P001,2022-02-23,82.0,17.0,Los Angeles
D000,P001,2022-02-24,55.0,18.0,Chicago
D000,P001,2022-02-25,64.0,7.0,Chicago
D000,P001,2022-02-26,37.0,7.0,Chicago
D000,P001,2022-02-27,64.0,11.0,Los Angeles
D000,P001,2022-02-28,82.0,11.0,Los Angeles
D000,P001,2022-02-29,31.0,10.0,New York
D000,P001,2022-02-30,84.0,14.0,Los Angeles
D000,P001,2022-03-01,60.0,12.0,Chicago
D000,P001,2022-03-02,87.0,16.0,Los Angeles
D000,P001,2022-03-03,76.0,19.0,New York
D000,P001,2022-03-04,89.0,13.0,Los Angeles
D000,P001,2022-03-05,66.0,18.0,New York
D000,P001,2022-03-06,84.0,7.0,Los Angeles
D000,P001,2022-03-07,46.0,14.0,Los Angeles
D000,P001,2022-03-08,18.0,7.0,New York
D000,P001,2022-03-09,30.0,15.0,New York
D000,P001,2022-03-10,54.0,5.0,New York
D000,P001,2022-03-11,87.0,7.0,New York
D000,P001,2022-03-12,72.0,5.0,Chicago
D000,P001,2022-03-13,73.0,14.0,New York
D000,P001,2022-03-14,72.0,16.0,Los Angeles
D000,P001,2022-03-15,67.0,12.0,Chicago
D000,P001,2022-03-16,24.0,12.0,Los Angeles
D000,P001,2022-03-17,51.0,14.0,Chicago
D000,P001,2022-03-18,92.0,6.0,Los Angeles
D000,P001,2022-03-19,72.0,9.0,New York
D000,P001,2022-03-20,87.0,11.0,New York
D000,P001,2022-03-21,33.0,15.0,Chicago
D000,P001,2022-03-22,68.0,18.0,Los Angeles
D000,P001,2022-03-23,34.0,17.0,New York
D000,P001,2022-03-24,96.0,19.0,Chicago
D000,P001,2022-03-25,60.0,6.0,Chicago
D000,P001,2022-03-26,44.0,19.0,Chicago
D000,P001,2022-03-27,25.0,5.0,Los Angeles
D000,P001,2022-03-28,57.0,12.0,Chicago
D000,P001,2022-03-29,59.0,5.0,Chicago
D000,P001,2022-03-30,34.0,10.0,Los Angeles
D000,P002,2022-01-01,49.0,6.0,New York
D000,P002,2022-01-02,61.0,16.0,Chicago
D000,P002,2022-01-03,39.0,14.0,Chicago
D000,P002,2022-01-04,72.0,17.0,New York
D000,P002,2022-01-05,93.0,9.0,Chicago
D000,P002,2022-01-06,39.0,9.0,Los Angeles
D000,P002,2022-01-07,90.0,15.0,Los Angeles
D000,P002,2022-01-08,71.0,18.0,New York
D000,P002,2022-01-09,84.0,12.0,Chicago
D000,P002,2022-01-10,99.0,19.0,Chicago
D000,P002,2022-01-11,17.0,17.0,New York
D000,P002,2022-01-12,92.0,15.0,New York
D000,P002,2022-01-13,99.0,18.0,New York
D000,P002,2022-01-14,91.0,10.0,Los Angeles
D000,P002,2022-01-15,67.0,17.0,Los Angeles
D000,P002,2022-01-16,76.0,6.0,Los Angeles
D000,P002,2022-01-17,48.0,11.0,Chicago
D000,P002,2022-01-18,43.0,19.0,Los Angeles
D000,P002,2022-01-19,84.0,6.0,New York
D000,P002,2022-01-20,39.0,19.0,Chicago
D000,P002,2022-01-21,61.0,7.0,Chicago
D000,P002,2022-01-22,84.0,18.0,Chicago
D000,P002,2022-01-23,94.0,19.0,New York
D000,P002,2022-01-24,68.0,5.0,Los Angeles
D000,P002,2022-01-25,76.0,12.0,Los Angeles
D000,P002,2022-01-26,40.0,6.0,Los Angeles
D000,P002,2022-01-27,52.0,6.0,New York
D000,P002,2022-01-28,33.0,12.0,Los Angeles
D000,P002,2022-01-29,43.0,9.0,Chicago
D000,P002,2022-01-30,48.0,7.0,Los Angeles
D000,P002,2022-02-01,23.0,10.0,Chicago
D000,P002,2022-02-02,17.0,19.0,New York
D000,P002,2022-02-03,97.0,11.0,Los Angeles
D000,P002,2022-02-04,78.0,8.0,Los Angeles
D000,P002,2022-02-05,51.0,11.0,Chicago
D000,P002,2022-02-06,44.0,14.0,New York
D000,P002,2022-02-07,38.0,13.0,Chicago
D000,P002,2022-02-08,48.0,6.0,New York
D000,P002,2022-02-09,93.0,19.0,New York
D000,P002,2022-02-10,30.0,10.0,Chicago
D000,P002,2022-02-11,28.0,9.0,Chicago
D000,P002,2022-02-12,51.0,16.0,Chicago
D000,P002,2022-02-13,81.0,14.0,Los Angeles
D000,P002,2022-02-14,82.0,10.0,Los Angeles
D000,P002,2022-02-15,77.0,17.0,Chicago
D000,P002,2022-02-16,65.0,17.0,Los Angeles
D000,P002,2022-02-17,22.0,11.0,New York
D000,P002,2022-02-18,41.0,16.0,Los Angeles
D000,P002,2022-02-19,33.0,17.0,Los Angeles
D000,P002,2022-02-20,68.0,10.0,Los Angeles
D000,P002,2022-02-21,53.0,17.0,Los Angeles
D000,P002,2022-02-22,50.0,5.0,New York
D000,P002,2022-02-23,84.0,11.0,Los Angeles
D000,P002,2022-02-24,23.0,19.0,Los Angeles
D000,P002,2022-02-25,14.0,7.0,New York
D000,P002,2022-02-26,22.0,10.0,New York
D000,P002,2022-02-27,57.0,19.0,Los Angeles
D000,P002,2022-02-28,26.0,12.0,Chicago
D000,P002,2022-02-29,35.0,6.0,Los Angeles
D000,P002,2022-02-30,21.0,5.0,Chicago
D000,P002,2022-03-01,11.0,19.0,New York
D000,P002,2022-03-02,42.0,15.0,Los Angeles
D000,P002,2022-03-03,51.0,15.0,Los Angeles
D000,P002,2022-03-04,52.0,12.0,Los Angeles
D000,P002,2022-03-05,34.0,18.0,Chicago
D000,P002,2022-03-06,82.0,10.0,Chicago
D000,P002,2022-03-07,79.0,8.0,New York
D000,P002,2022-03-08,990.0,190.0,
D000,P002,2022-03-09,36.0,8.0,Los Angeles
D000,P002,2022-03-10,57.0,16.0,Chicago
D000,P002,2022-03-11,56.0,6.0,New York
D000,P002,2022-03-12,,,
D000,P002,2022-03-13,46.0,18.0,New York
D000,P002,2022-03-14,29.0,14.0,New York
D000,P002,2022-03-15,70.0,8.0,Los Angeles
D000,P002,2022-03-16,53.0,10.0,Chicago
D000,P002,2022-03-17,96.0,5.0,Los Angeles
D000,P002,2022-03-18,67.0,17.0,Chicago
D000,P002,2022-03-19,54.0,6.0,Los Angeles
D000,P002,2022-03-20,54.0,15.0,New York
D000,P002,2022-03-21,34.0,18.0,Los Angeles
D000,P002,2022-03-22,37.0,8.0,Chicago
D000,P002,2022-03-23,51.0,18.0,Los Angeles
D000,P002,2022-03-24,34.0,14.0,Chicago
D000,P002,2022-03-25,84.0,5.0,Los Angeles
D000,P002,2022-03-26,73.0,18.0,New York
D000,P002,2022-03-27,50.0,15.0,Chicago
D000,P002,2022-03-28,43.0,15.0,New York
D000,P002,2022-03-29,78.0,13.0,Chicago
D000,P002,2022-03-30,61.0,13.0,Chicago
D000,P003,2022-01-01,27.0,16.0,Chicago
D000,P003,2022-01-02,18.0,15.0,Los Angeles
D000,P003,2022-01-03,72.0,17.0,Chicago
D000,P003,2022-01-04,990.0,190.0,
D000,P003,2022-01-05,59.0,12.0,New York
D000,P003,2022-01-06,92.0,6.0,Los Angeles
D000,P003,2022-01-07,10.0,19.0,New York
D000,P003,2022-01-08,73.0,18.0,Los Angeles
D000,P003,2022-01-09,24.0,19.0,Los Angeles
D000,P003,2022-01-10,97.0,13.0,Chicago
D000,P003,2022-01-11,37.0,16.0,Los Angeles
D000,P003,2022-01-12,84.0,15.0,Los Angeles
D000,P003,2022-01-13,34.0,12.0,Chicago
D000,P003,2022-01-14,12.0,5.0,Los Angeles
D000,P003,2022-01-15,45.0,10.0,New York
D000,P003,2022-01-16,76.0,15.0,New York
D000,P003,2022-01-17,60.0,16.0,Chicago
D000,P003,2022-01-18,29.0,15.0,Los Angeles
D000,P003,2022-01-19,27.0,19.0,Chicago
D000,P003,2022-01-20,43.0,8.0,New York
D000,P003,2022-01-21,,,
D000,P003,2022-01-22,70.0,6.0,Los Angeles
D000,P003,2022-01-23,71.0,8.0,New York
D000,P003,2022-01-24,18.0,11.0,Chicago
D000,P003,2022-01-25,14.0,19.0,New York
D000,P003,2022-01-26,44.0,19.0,Chicago
D000,P003,2022-01-27,56.0,6.0,Los Angeles
D000,P003,2022-01-28,56.0,5.0,Los Angeles
D000,P003,2022-01-29,64.0,17.0,Chicago
D000,P003,2022-01-30,31.0,6.0,Los Angeles
D000,P003,2022-02-01,12.0,11.0,Los Angeles
D000,P003,2022-02-02,88.0,16.0,New York
D000,P003,2022-02-03,32.0,14.0,Chicago
D000,P003,2022-02-04,88.0,12.0,Los Angeles
D000,P003,2022-02-05,41.0,17.0,Chicago
D000,P003,2022-02-06,91.0,11.0,New York
D000,P003,2022-02-07,66.0,12.0,Los Angeles
D000,P003,2022-02-08,27.0,9.0,New York
D000,P003,2022-02-09,95.0,14.0,Chicago
D000,P003,2022-02-10,98.0,5.0,New York
D000,P003,2022-02-11,55.0,12.0,New York
D000,P003,2022-02-12,54.0,8.0,Los Angeles
D000,P003,2022-02-13,46.0,9.0,Chicago
D000,P003,2022-02-14,12.0,18.0,New York
D000,P003,2022-02-15,96.0,7.0,Los Angeles
D000,P003,2022-02-16,20.0,7.0,Chicago
D000,P003,2022-02-17,29.0,18.0,Los Angeles
D000,P003,2022-02-18,88.0,18.0,New York
D000,P003,2022-02-19,20.0,17.0,Chicago
D000,P003,2022-02-20,38.0,12.0,Los Angeles
D000,P003,2022-02-21,87.0,17.0,Los Angeles
D000,P003,2022-02-22,43.0,10.0,Chicago
D000,P003,2022-02-23,14.0,19.0,Los Angeles
D000,P003,2022-02-24,77.0,14.0,Los Angeles
D000,P003,2022-02-25,54.0,9.0,Los Angeles
D000,P003,2022-02-26,30.0,6.0,New York
D000,P003,2022-02-27,990.0,190.0,
D000,P003,2022-02-28,97.0,14.0,Chicago
D000,P003,2022-02-29,44.0,12.0,Los Angeles
D000,P003,2022-02-30,95.0,18.0,New York
D000,P003,2022-03-01,57.0,11.0,Los Angeles
D000,P003,2022-03-02,97.0,11.0,New York
D000,P003,2022-03-03,33.0,17.0,Los Angeles
D000,P003,2022-03-04,74.0,15.0,Chicago
D000,P003,2022-03-05,61.0,19.0,Chicago
D000,P003,2022-03-06,17.0,13.0,Los Angeles
D000,P003,2022-03-07,65.0,13.0,Chicago
D000,P003,2022-03-08,45.0,6.0,New York
D000,P003,2022-03-09,34.0,7.0,Chicago
D000,P003,2022-03-10,18.0,16.0,New York
D000,P003,2022-03-11,54.0,18.0,Los Angeles
D000,P003,2022-03-12,50.0,11.0,Chicago
D000,P003,2022-03-13,48.0,15.0,New York
D000,P003,2022-03-14,71.0,12.0,Chicago
D000,P003,2022-03-15,27.0,12.0,New York
D000,P003,2022-03-16,17.0,6.0,Chicago
D000,P003,2022-03-17,70.0,15.0,New York
D000,P003,2022-03-18,22.0,19.0,Los Angeles
D000,P003,2022-03-19,13.0,13.0,New York
D000,P003,2022-03-20,23.0,8.0,New York
D000,P003,2022-03-21,92.0,9.0,Chicago
D000,P003,2022-03-22,,,
D000,P003,2022-03-23,22.0,19.0,Chicago
D000,P003,2022-03-24,78.0,5.0,Los Angeles
D000,P003,2022-03-25,65.0,18.0,Chicago
D000,P003,2022-03-26,32.0,16.0,New York
D000,P003,2022-03-27,54.0,16.0,New York
D000,P003,2022-03-28,21.0,15.0,Los Angeles
D000,P003,2022-03-29,25.0,12.0,New York
D000,P003,2022-03-30,36.0,14.0,Los Angeles
D000,P004,2022-01-01,58.0,10.0,New York
D000,P004,2022-01-02,22.0,17.0,Chicago
D000,P004,2022-01-03,78.0,12.0,New York
D000,P004,2022-01-04,79.0,12.0,Los Angeles
D000,P004,2022-01-05,38.0,7.0,New York
D000,P004,2022-01-06,79.0,18.0,New York
D000,P004,2022-01-07,80.0,13.0,Los Angeles
D000,P004,2022-01-08,35.0,10.0,Chicago
D000,P004,2022-01-09,33.0,15.0,Los Angeles
D000,P004,2022-01-10,43.0,8.0,Chicago
D000,P004,2022-01-11,64.0,10.0,Chicago
D000,P004,2022-01-12,61.0,10.0,Chicago
D000,P004,2022-01-13,58.0,12.0,New York
D000,P004,2022-01-14,11.0,19.0,Los Angeles
D000,P004,2022-01-15,10.0,15.0,Los Angeles
D000,P004,2022-01-16,50.0,18.0,New York
D000,P004,2022-01-17,55.0,19.0,Chicago
D000,P004,2022-01-18,54.0,17.0,Los Angeles
D000,P004,2022-01-19,76.0,17.0,Chicago
D000,P004,2022-01-20,20.0,13.0,Chicago
D000,P004,2022-01-21,75.0,16.0,Los Angeles
D000,P004,2022-01-22,21.0,18.0,Chicago
D000,P004,2022-01-23,22.0,9.0,Chicago
D000,P004,2022-01-24,40.0,7.0,Chicago
D000,P004,2022-01-25,96.0,15.0,Los Angeles
D000,P004,2022-01-26,96.0,12.0,Los Angeles
D000,P004,2022-01-27,28.0,13.0,Chicago
D000,P004,2022-01-28,97.0,5.0,Chicago
D000,P004,2022-01-29,39.0,13.0,New York
D000,P004,2022-01-30,23.0,5.0,Los Angeles
D000,P004,2022-02-01,24.0,18.0,Los Angeles
D000,P004,2022-02-02,86.0,14.0,Los Angeles
D000,P004,2022-02-03,37.0,18.0,Los Angeles
D000,P004,2022-02-04,57.0,18.0,Chicago
D000,P004,2022-02-05,21.0,8.0,Los Angeles
D000,P004,2022-02-06,86.0,10.0,Los Angeles
D000,P004,2022-02-07,44.0,11.0,Los Angeles
D000,P004,2022-02-08,14.0,5.0,Chicago
D000,P004,2022-02-09,10.0,14.0,New York
D000,P004,2022-02-10,87.0,7.0,Chicago
D000,P004,2022-02-11,75.0,8.0,Chicago
D000,P004,2022-02-12,72.0,15.0,Chicago
D000,P004,2022-02-13,43.0,17.0,New York
D000,P004,2022-02-14,44.0,10.0,New York
D000,P004,2022-02-15,63.0,5.0,Chicago
D000,P004,2022-02-16,30.0,16.0,Chicago
D000,P004,2022-02-17,83.0,13.0,New York
D000,P004,2022-02-18,66.0,17.0,Chicago
D000,P004,2022-02-19,79.0,8.0,Chicago
D000,P004,2022-02-20,49.0,8.0,Los Angeles
D000,P004,2022-02-21,75.0,17.0,Los Angeles
D000,P004,2022-02-22,69.0,7.0,New York
D000,P004,2022-02-23,71.0,16.0,New York
D000,P004,2022-02-24,50.0,11.0,Los Angeles
D000,P004,2022-02-25,92.0,7.0,Chicago
D000,P004,2022-02-26,73.0,7.0,New York
D000,P004,2022-02-27,47.0,19.0,Los Angeles
D000,P004,2022-02-28,63.0,11.0,New York
D000,P004,2022-02-29,24.0,14.0,Los Angeles
D000,P004,2022-02-30,74.0,13.0,Chicago
D000,P004,2022-03-01,52.0,14.0,Chicago
D000,P004,2022-03-02,29.0,9.0,New York
D000,P004,2022-03-03,79.0,5.0,New York
D000,P004,2022-03-04,18.0,6.0,New York
D000,P004,2022-03-05,51.0,5.0,Los Angeles
D000,P004,2022-03-06,24.0,10.0,New York
D000,P004,2022-03-07,80.0,16.0,Los Angeles
D000,P004,2022-03-08,97.0,5.0,Los Angeles
D000,P004,2022-03-09,54.0,11.0,Chicago
D000,P004,2022-03-10,47.0,14.0,Chicago
D000,P004,2022-03-11,51.0,8.0,Los Angeles
D000,P004,2022-03-12,10.0,5.0,Los Angeles
D000,P004,2022-03-13,28.0,9.0,New York
D000,P004,2022-03-14,82.0,7.0,Chicago
D000,P004,2022-03-15,58.0,8.0,New York
D000,P004,2022-03-16,67.0,16.0,Los Angeles
D000,P004,2022-03-17,14.0,10.0,Los Angeles
D000,P004,2022-03-18,67.0,5.0,Chicago
D000,P004,2022-03-19,48.0,15.0,New York
D000,P004,2022-03-20,31.0,13.0,New York
D000,P004,2022-03-21,97.0,7.0,New York
D000,P004,2022-03-22,92.0,12.0,Chicago
D000,P004,2022-03-23,45.0,6.0,Chicago
D000,P004,2022-03-24,28.0,16.0,Los Angeles
D000,P004,2022-03-25,37.0,12.0,New York
D000,P004,2022-03-26,77.0,12.0,Los Angeles
D000,P004,2022-03-27,67.0,9.0,Chicago
D000,P004,2022-03-28,68.0,16.0,Chicago
D000,P004,2022-03-29,28.0,16.0,Los Angeles
D000,P004,2022-03-30,88.0,16.0,Chicago
D000,P005,2022-01-01,69.0,12.0,Chicago
D000,P005,2022-01-02,15.0,11.0,New York
D000,P005,2022-01-03,98.0,16.0,Los Angeles
D000,P005,2022-01-04,36.0,13.0,Chicago
D000,P005,2022-01-05,83.0,15.0,New York
D000,P005,2022-01-06,86.0,11.0,Chicago
D000,P005,2022-01-07,41.0,13.0,New York
D000,P005,2022-01-08,11.0,15.0,Los Angeles
D000,P005,2022-01-09,55.0,18.0,New York
D000,P005,2022-01-10,49.0,17.0,Chicago
D000,P005,2022-01-11,78.0,19.0,Los Angeles
D000,P005,2022-01-12,74.0,19.0,Chicago
D000,P005,2022-01-13,29.0,8.0,Chicago
D000,P005,2022-01-14,92.0,6.0,Los Angeles
D000,P005,2022-01-15,83.0,12.0,Chicago
D000,P005,2022-01-16,62.0,5.0,Chicago
D000,P005,2022-01-17,69.0,17.0,Los Angeles
D000,P005,2022-01-18,65.0,12.0,Chicago
D000,P005,2022-01-19,49.0,11.0,Chicago
D000,P005,2022-01-20,31.0,8.0,Chicago
D000,P005,2022-01-21,60.0,14.0,Los Angeles
D000,P005,2022-01-22,57.0,16.0,New York
D000,P005,2022-01-23,88.0,6.0,Chicago
D000,P005,2022-01-24,15.0,12.0,Chicago
D000,P005,2022-01-25,78.0,9.0,Chicago
D000,P005,2022-01-26,90.0,19.0,Chicago
D000,P005,2022-01-27,42.0,15.0,New York
D000,P005,2022-01-28,76.0,8.0,Los Angeles
D000,P005,2022-01-29,17.0,17.0,Chicago
D000,P005,2022-01-30,29.0,9.0,Los Angeles
D000,P005,2022-02-01,99.0,10.0,Chicago
D000,P005,2022-02-02,96.0,8.0,Los Angeles
D000,P005,2022-02-03,23.0,12.0,Los Angeles
D000,P005,2022-02-04,60.0,18.0,Chicago
D000,P005,2022-02-05,61.0,7.0,Chicago
D000,P005,2022-02-06,58.0,6.0,New York
D000,P005,2022-02-07,16.0,15.0,Los Angeles
D000,P005,2022-02-08,60.0,14.0,Los Angeles
D000,P005,2022-02-09,15.0,9.0,Chicago
D000,P005,2022-02-10,95.0,15.0,Chicago
D000,P005,2022-02-11,36.0,5.0,Chicago
D000,P005,2022-02-12,21.0,6.0,Los Angeles
D000,P005,2022-02-13,12.0,10.0,New York
D000,P005,2022-02-14,71.0,12.0,Chicago
D000,P005,2022-02-15,11.0,15.0,New York
D000,P005,2022-02-16,49.0,12.0,New York
D000,P005,2022-02-17,25.0,10.0,Los Angeles
D000,P005,2022-02-18,90.0,17.0,Chicago
D000,P005,2022-02-19,15.0,9.0,New York
D000,P005,2022-02-20,29.0,15.0,Los Angeles
D000,P005,2022-02-21,11.0,17.0,Chicago
D000,P005,2022-02-22,93.0,7.0,Los Angeles
D000,P005,2022-02-23,79.0,12.0,Los Angeles
D000,P005,2022-02-24,43.0,18.0,New York
D000,P005,2022-02-25,87.0,7.0,Chicago
D000,P005,2022-02-26,24.0,17.0,New York
D000,P005,2022-02-27,11.0,5.0,Los Angeles
D000,P005,2022-02-28,29.0,6.0,New York
D000,P005,2022-02-29,51.0,19.0,New York
D000,P005,2022-02-30,36.0,15.0,New York
D000,P005,2022-03-01,46.0,5.0,New York
D000,P005,2022-03-02,53.0,5.0,Chicago
D000,P005,2022-03-03,20.0,13.0,Los Angeles
D000,P005,2022-03-04,23.0,12.0,New York
D000,P005,2022-03-05,11.0,17.0,Chicago
D000,P005,2022-03-06,13.0,6.0,Los Angeles
D000,P005,2022-03-07,30.0,18.0,Los Angeles
D000,P005,2022-03-08,43.0,12.0,Chicago
D000,P005,2022-03-09,77.0,15.0,Chicago
D000,P005,2022-03-10,39.0,7.0,New York
D000,P005,2022-03-11,97.0,16.0,Los Angeles
D000,P005,2022-03-12,68.0,11.0,New York
D000,P005,2022-03-13,92.0,19.0,Los Angeles
D000,P005,2022-03-14,77.0,8.0,New York
D000,P005,2022-03-15,10.0,9.0,New York
D000,P005,2022-03-16,52.0,13.0,Chicago
D000,P005,2022-03-17,57.0,7.0,Chicago
D000,P005,2022-03-18,88.0,19.0,New York
D000,P005,2022-03-19,90.0,10.0,Los Angeles
D000,P005,2022-03-20,80.0,5.0,Chicago
D000,P005,2022-03-21,60.0,14.0,Chicago
D000,P005,2022-03-22,73.0,15.0,New York
D000,P005,2022-03-23,13.0,7.0,New York
D000,P005,2022-03-24,85.0,7.0,Los Angeles
D000,P005,2022-03-25,81.0,19.0,New York
D000,P005,2022-03-26,48.0,14.0,Chicago
